time,body_id,mass,x,y,z,vx,vy,vz
180000.0,1,2.6523384296295672e+23,174804182.42862475,483367929.60323983,-181098450.13477114,-296.17139477924746,-217.6582574893394,-323.93810114024154
180000.0,2,9.406705410554697e+24,-708257644.582071,-149077462.8335396,-361943135.4497793,-252.89039658624222,-140.26117556906175,-504.53090701956194
180000.0,3,3.358963612509865e+24,-716102577.5712347,470490863.92655313,-874282451.5144417,177.73354927746502,-351.9634772327788,-145.9566964655892
180000.0,4,7.418048871488694e+24,784083044.3234447,83899410.52551359,-840449169.7365011,-374.08088279840825,490.5200785461924,-291.63637257758586
180000.0,5,3.685693586328256e+24,-254652671.69011462,432736429.10076094,-659215634.6980063,53.68820237830135,240.58800965428034,-250.3636012526423
180000.0,6,6.226357146557448e+24,79229408.24856041,-552343497.3493681,72108017.03936031,299.8882689341175,323.6672306408357,-657.4687010103974
180000.0,7,8.465520410768719e+24,185470412.89817074,870916796.7574618,146612447.9071084,-282.19234811647857,-102.83537299626241,-629.7329049856536
180000.0,8,6.293250332675079e+24,525910378.61146414,-121328586.58132538,-120193989.84236872,-610.0806266813178,384.12276024781744,-596.9316281085587
180000.0,9,9.6333450285479e+24,-704672153.9942328,696147173.5319782,79991962.92881605,-159.5438485449045,-651.3966214915413,-640.763243647983
190000.0,0,1.554118165150887e+23,-718304705.3646417,-161697868.66534808,-418319190.5951271,2163.759590759608,339.3292020216059,3235.427550183252
190000.0,1,2.6523384296295672e+23,171798864.54357916,481201005.23333055,-184298198.79276752,-304.88516362262084,-215.72746153572962,-316.0397542310782
190000.0,2,9.406705410554697e+24,-710752597.8986312,-150434257.59280053,-367061369.72150993,-246.26736994710515,-131.95464238495904,-522.788019957306
190000.0,3,3.358963612509865e+24,-714251434.0885502,466930362.2177648,-875638260.7395369,192.50848442715608,-360.13130624874987,-125.17204997848306
190000.0,4,7.418048871488694e+24,780284661.4362127,88804121.58765268,-843305870.9467299,-385.6125863355796,490.41487474292717,-279.6932649396233
190000.0,5,3.685693586328256e+24,-254155294.33560205,435106721.69421417,-661650605.9988586,45.783967209893206,233.4508862018971,-236.6236422863264
190000.0,6,6.226357146557448e+24,82232976.89738005,-549017468.0081576,65487813.44411864,300.82446347729683,341.5755827415578,-666.5836074732232
190000.0,7,8.465520410768719e+24,182602685.68659085,869827054.0473607,140277293.17131767,-291.3506305939283,-115.13550483434342,-637.3085149052483
190000.0,8,6.293250332675079e+24,519737396.91301006,-117471951.75645295,-126187865.3942267,-624.5350142993037,387.186599726818,-601.8337865253293
190000.0,9,9.6333450285479e+24,-706207250.0191673,689585779.458457,73541610.24380757,-147.46092029495648,-660.8860531976612,-649.3254329255014
